tags,elapsed_s,start_unix,end_unix
"['write-jsonl', 'fc26b11c-b398-42a1-a01d-80a88e8c4d97']",0.00,1713122801.28,1713122801.28
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-8536.zip']",55.61,1713122745.68,1713122801.28
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-8536.zip']",57.23,1713122744.05,1713122801.28
"['initialize-parser', '73033085-9782-48c2-9509-2636ad07d633']",0.00,1713122802.83,1713122802.83
"['parser-parse', '8b21a88e-b67d-4ccf-bb04-cc9e851bd357']",55.44,1713122746.34,1713122801.78
"['write-jsonl', '8b21a88e-b67d-4ccf-bb04-cc9e851bd357']",0.00,1713122801.78,1713122801.78
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-10453.zip']",55.44,1713122746.34,1713122801.78
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-10453.zip']",56.98,1713122744.80,1713122801.79
"['initialize-parser', 'ec2fad45-7be2-4540-98e8-c24f6807045f']",0.00,1713122803.35,1713122803.35
"['parser-parse', '48aaaafd-49f9-494d-a231-d7b3e0533d83']",55.78,1713122746.09,1713122801.88
"['write-jsonl', '48aaaafd-49f9-494d-a231-d7b3e0533d83']",0.00,1713122801.88,1713122801.88
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-1377.zip']",55.79,1713122746.09,1713122801.88
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-1377.zip']",57.34,1713122744.55,1713122801.88
"['initialize-parser', 'f8b12a7a-50d9-4306-bf00-00b3680be7c0']",0.00,1713122803.41,1713122803.41
"['parser-parse', '1952c140-7e7c-47d6-8b1c-66271cde51b7']",57.22,1713122745.81,1713122803.03
"['write-jsonl', '1952c140-7e7c-47d6-8b1c-66271cde51b7']",0.00,1713122803.03,1713122803.03
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-17355.zip']",57.22,1713122745.81,1713122803.03
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-17355.zip']",58.84,1713122744.19,1713122803.04
"['initialize-parser', '1432608e-b355-44b6-a047-f5819989e7f9']",0.00,1713122804.63,1713122804.63
"['parser-parse', 'ce98e454-c62d-4b52-a917-9f8d646af964']",57.05,1713122746.76,1713122803.81
"['write-jsonl', 'ce98e454-c62d-4b52-a917-9f8d646af964']",0.00,1713122803.81,1713122803.81
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-7874.zip']",57.06,1713122746.76,1713122803.81
